region,adm1_pcode,adm1_name,adm2_pcode,adm2_name,pop_type,strata_id,n_pop,N_hh,n_hex,selection_type,certainty_stratum,excluded_infeasible,clusters_target_stage1,achieved_clusters,m_used,ICC,DEFF,expected_households_stage1,target_sample,achieved_sample,confidence_level_pct,target_moe_pct,projected_moe_pct,realized_moe_pct,coverage_status,exclusion_reason
NW,NG021,Katsina,NG021007,Dan Musa,non_idp,non_idp_NG021007,169247.14657592773,28207.85776265462,55,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021008,Dandume,non_idp,non_idp_NG021008,234716.06490707397,39119.34415117899,38,pps,FALSE,FALSE,17,11,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021009,Danja,non_idp,non_idp_NG021009,157020.44081115723,26170.073468526203,41,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021010,Daura,non_idp,non_idp_NG021010,47567.372467041016,7927.895411173503,10,pps,FALSE,FALSE,17,8,6,0.06,1.3,102,102,102,90,10,NA,9.23,covered,none
NW,NG021,Katsina,NG021011,Dutsi,non_idp,non_idp_NG021011,210378.75128173828,35063.12521362305,25,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021012,Dutsin-Ma,non_idp,non_idp_NG021012,281488.0337295532,46914.67228825887,50,pps,FALSE,FALSE,17,13,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021013,Faskari,non_idp,non_idp_NG021013,330287.731716156,55047.955286026,105,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NW,NG021,Katsina,NG021014,Funtua,non_idp,non_idp_NG021014,307008.9299354553,51168.154989242554,38,pps,FALSE,FALSE,17,10,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NW,NG021,Katsina,NG021015,Ingawa,non_idp,non_idp_NG021015,282978.1454925537,47163.02424875895,59,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021016,Jibia,non_idp,non_idp_NG021016,8885.858135223389,1480.9763558705647,12,pps,FALSE,FALSE,16,8,6,0.06,1.3,96,96,96,90,10,NA,9.26,covered,none
NW,NG021,Katsina,NG021017,Kafur,non_idp,non_idp_NG021017,304676.0131492615,50779.335524876915,75,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NW,NG021,Katsina,NG021018,Kaita,non_idp,non_idp_NG021018,78802.30792999268,13133.717988332111,17,pps,FALSE,FALSE,17,10,6,0.06,1.3,102,102,102,90,10,NA,9.25,covered,none
NW,NG021,Katsina,NG021019,Kankara,non_idp,non_idp_NG021019,366127.55994033813,61021.25999005636,94,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NW,NG021,Katsina,NG021020,Kankia,non_idp,non_idp_NG021020,213225.14179611206,35537.52363268534,59,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021021,Katsina,non_idp,non_idp_NG021021,545534.1813354492,90922.3635559082,11,pps,FALSE,FALSE,17,6,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NW,NG021,Katsina,NG021022,Kurfi,non_idp,non_idp_NG021022,186299.74063110352,31049.956771850586,49,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021023,Kusada,non_idp,non_idp_NG021023,155970.52949523926,25995.088249206543,37,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021024,Mai'adua,non_idp,non_idp_NG021024,11456.313873291016,1909.3856455485027,6,pps,FALSE,FALSE,17,5,6,0.06,1.3,102,102,102,90,10,NA,9.04,covered,none
NW,NG021,Katsina,NG021025,Malumfashi,non_idp,non_idp_NG021025,275748.4457702637,45958.074295043945,63,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021026,Mani,non_idp,non_idp_NG021026,231517.93840026855,38586.323066711426,54,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021027,Mashi,non_idp,non_idp_NG021027,166056.57080841064,27676.095134735107,37,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021028,Matazu,non_idp,non_idp_NG021028,179121.65754699707,29853.60959116618,42,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021029,Musawa,non_idp,non_idp_NG021029,316237.9446105957,52706.32410176595,62,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NW,NG021,Katsina,NG021030,Rimi,non_idp,non_idp_NG021030,232248.69638824463,38708.116064707436,45,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021031,Sabuwa,non_idp,non_idp_NG021031,254997.89064788818,42499.6484413147,50,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021032,Safana,non_idp,non_idp_NG021032,271703.3266220093,45283.88777033488,87,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG021,Katsina,NG021033,Sandamu,non_idp,non_idp_NG021033,90634.63568115234,15105.77261352539,18,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,102,90,10,NA,9.25,covered,none
NW,NG021,Katsina,NG021034,Zango,non_idp,non_idp_NG021034,9331.475700378418,1555.2459500630698,5,pps,FALSE,FALSE,16,4,6,0.06,1.3,96,96,96,90,10,NA,9.27,covered,none
NW,NG022,Kebbi,NG022001,Aleiro,non_idp,non_idp_NG022001,117077.32178497314,19512.886964162193,25,pps,FALSE,FALSE,17,9,6,0.06,1.3,102,102,102,90,10,NA,9.26,covered,none
NW,NG022,Kebbi,NG022002,Arewa-Dandi,non_idp,non_idp_NG022002,60647.2138710022,10107.868978500366,79,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.24,covered,none
NW,NG022,Kebbi,NG022003,Argungu,non_idp,non_idp_NG022003,250058.90236663818,41676.48372777303,68,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG022,Kebbi,NG022004,Augie,non_idp,non_idp_NG022004,93895.49839019775,15649.249731699625,71,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.25,covered,none
NW,NG022,Kebbi,NG022005,Bagudo,non_idp,non_idp_NG022005,314543.2609767914,52423.87682946523,236,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NW,NG022,Kebbi,NG022006,Birnin Kebbi,non_idp,non_idp_NG022006,604040.1491966248,100673.35819943745,70,pps,FALSE,FALSE,17,9,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NW,NG022,Kebbi,NG022007,Bunza,non_idp,non_idp_NG022007,196620.01026916504,32770.001711527504,64,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG022,Kebbi,NG022008,Dandi,non_idp,non_idp_NG022008,35694.84844207764,5949.1414070129395,45,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.21,covered,none
NW,NG022,Kebbi,NG022009,Fakai,non_idp,non_idp_NG022009,208391.96883010864,34731.994805018105,143,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG022,Kebbi,NG022010,Gwandu,non_idp,non_idp_NG022010,177247.8257675171,29541.30429458618,73,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG022,Kebbi,NG022011,Jega,non_idp,non_idp_NG022011,257889.75555419922,42981.62592569987,66,pps,FALSE,FALSE,17,11,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG022,Kebbi,NG022012,Kalgo,non_idp,non_idp_NG022012,106817.31272888184,17802.88545481364,43,pps,FALSE,FALSE,17,13,6,0.06,1.3,102,102,102,90,10,NA,9.26,covered,none
NW,NG022,Kebbi,NG022013,Koko/Besse,non_idp,non_idp_NG022013,220617.5333251953,36769.588887532555,82,pps,FALSE,FALSE,17,13,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG022,Kebbi,NG022014,Maiyama,non_idp,non_idp_NG022014,190313.15432739258,31718.85905456543,88,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG022,Kebbi,NG022015,Ngaski,non_idp,non_idp_NG022015,210541.72271347046,35090.28711891174,140,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG022,Kebbi,NG022016,Sakaba,non_idp,non_idp_NG022016,170111.28638076782,28351.881063461304,97,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG022,Kebbi,NG022017,Shanga,non_idp,non_idp_NG022017,246262.006275177,41043.6677125295,165,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG022,Kebbi,NG022018,Suru,non_idp,non_idp_NG022018,216020.28007125854,36003.38001187643,99,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG022,Kebbi,NG022019,Wasagu/Danko,non_idp,non_idp_NG022019,520977.7491378784,86829.62485631306,258,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NW,NG022,Kebbi,NG022020,Yauri,non_idp,non_idp_NG022020,91301.93688201904,15216.989480336508,15,pps,FALSE,FALSE,17,6,6,0.06,1.3,102,102,102,90,10,NA,9.25,covered,none
NW,NG022,Kebbi,NG022021,Zuru,non_idp,non_idp_NG022021,313475.44707489014,52245.907845815025,58,pps,FALSE,FALSE,17,13,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NC,NG026,Nasarawa,NG026001,Akwanga,non_idp,non_idp_NG026001,216097.24271011353,36016.20711835226,64,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NC,NG026,Nasarawa,NG026002,Awe,non_idp,non_idp_NG026002,184505.57892417908,30750.929820696514,163,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NC,NG026,Nasarawa,NG026005,Keana,non_idp,non_idp_NG026005,77168.24851989746,12861.374753316244,79,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.25,covered,none
NC,NG026,Nasarawa,NG026007,Kokona,non_idp,non_idp_NG026007,215165.6350402832,35860.93917338053,164,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NC,NG026,Nasarawa,NG026008,Lafia,non_idp,non_idp_NG026008,602955.2499828339,100492.54166380565,173,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NC,NG026,Nasarawa,NG026010,Nasarawa-Eggon,non_idp,non_idp_NG026010,187935.30894470215,31322.55149078369,85,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NC,NG026,Nasarawa,NG026011,Obi,non_idp,non_idp_NG026011,151839.22409439087,25306.537349065144,70,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,104,90,10,NA,9.18,covered,none
NC,NG032,Plateau,NG032001,Barikin Ladi,non_idp,non_idp_NG032001,393224.3184814453,65537.38641357422,76,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NC,NG032,Plateau,NG032002,Bassa,non_idp,non_idp_NG032002,322917.84101867676,53819.64016977946,115,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NC,NG032,Plateau,NG032003,Bokkos,non_idp,non_idp_NG032003,381707.02362060547,63617.837270100914,112,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NC,NG032,Plateau,NG032011,Mangu,non_idp,non_idp_NG032011,490441.55071258545,81740.25845209758,111,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NC,NG032,Plateau,NG032015,Riyom,non_idp,non_idp_NG032015,263465.5090408325,43910.918173472084,62,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG034,Sokoto,NG034001,Binji,non_idp,non_idp_NG034001,105715.37819671631,17619.229699452717,51,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.26,covered,none
NW,NG034,Sokoto,NG034002,Bodinga,non_idp,non_idp_NG034002,305094.0268135071,50849.00446891785,46,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NW,NG034,Sokoto,NG034003,Dange-Shuni,non_idp,non_idp_NG034003,388864.90714645386,64810.81785774231,67,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none
NW,NG034,Sokoto,NG034004,Gada,non_idp,non_idp_NG034004,70196.59911346436,11699.433185577393,36,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.24,covered,none
NW,NG034,Sokoto,NG034005,Gwadabawa,non_idp,non_idp_NG034005,279962.9146499634,46660.4857749939,72,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG034,Sokoto,NG034006,Goronyo,non_idp,non_idp_NG034006,177496.38248062134,29582.73041343689,100,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none
NW,NG034,Sokoto,NG034007,Gudu,non_idp,non_idp_NG034007,34738.06023597717,5789.676705996196,57,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.2,covered,none
NW,NG034,Sokoto,NG034008,Illela,non_idp,non_idp_NG034008,71303.6481552124,11883.941359202066,35,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.25,covered,none
